Type, Quantum, Average Response Time, Context Switch Time
mlfq, 110000, 1.00985831, 0.00006020
rr, 110000, 0.88174276, 0.00016601
mlfq, 115000, 1.02820187, 0.00006872
rr, 115000, 0.92167734, 0.00028265
mlfq, 120000, 1.04497239, 0.00005985
rr, 120000, 0.93163340, 0.00022223
mlfq, 125000, 1.06051750, 0.00006265
rr, 125000, 0.97030321, 0.00014834
mlfq, 130000, 1.07696584, 0.00005685
rr, 130000, 0.97656774, 0.00014576
mlfq, 135000, 1.09309577, 0.00005839
rr, 135000, 1.01425171, 0.00014967
mlfq, 140000, 1.10953960, 0.00005818
rr, 140000, 1.05174727, 0.00016573
mlfq, 145000, 1.12500171, 0.00006300
rr, 145000, 1.05281312, 0.00012795
mlfq, 150000, 1.13981136, 0.00005664
rr, 150000, 1.08891242, 0.00015079
mlfq, 155000, 1.15776590, 0.00006048
rr, 155000, 1.00911703, 0.00018648
mlfq, 160000, 1.17428378, 0.00005685
rr, 160000, 1.04140409, 0.00011775
mlfq, 165000, 1.19057914, 0.00005804
rr, 165000, 1.03248271, 0.00013731
mlfq, 170000, 1.20428052, 0.00005853
rr, 170000, 1.06411758, 0.00021036
mlfq, 175000, 1.22281673, 0.00006300
rr, 175000, 1.09544923, 0.00014618
mlfq, 180000, 1.23916599, 0.00006474
rr, 180000, 1.12650199, 0.00015393
mlfq, 185000, 1.25619218, 0.00006432
rr, 185000, 1.15771875, 0.00014066
mlfq, 190000, 1.27124813, 0.00004868
rr, 190000, 1.18911560, 0.00016099
mlfq, 195000, 1.28838155, 0.00005559
rr, 195000, 1.17126143, 0.00017104
mlfq, 200000, 1.30366152, 0.00006048
rr, 200000, 1.20153202, 0.00015212
mlfq, 205000, 1.32067394, 0.00005790
rr, 205000, 1.23153938, 0.00024570
mlfq, 210000, 1.33689166, 0.00005496
rr, 210000, 1.26162642, 0.00015414
mlfq, 215000, 1.35308220, 0.00005790
rr, 215000, 1.29149223, 0.00015058
mlfq, 220000, 1.36965279, 0.00005811
rr, 220000, 1.32162509, 0.00014492
mlfq, 225000, 1.38555878, 0.00006404
rr, 225000, 1.35155985, 0.00015351
mlfq, 230000, 1.40219612, 0.00006048
rr, 230000, 1.38126419, 0.00021197
mlfq, 235000, 1.41808882, 0.00006006
rr, 235000, 1.35300525, 0.00014904
mlfq, 240000, 1.43384711, 0.00006146
rr, 240000, 1.38147617, 0.00014185
mlfq, 245000, 1.45055700, 0.00005895
rr, 245000, 1.40994369, 0.00012781
mlfq, 250000, 1.46650005, 0.00005860
rr, 250000, 1.43871087, 0.00015142
fcfs, 0, 1.42224958, 0.00000712
sjf, 0, 0.51665547, 0.00000803
mlfq, 0, 1.41882743, 0.00002053
rr, 0, 0.81620012, 0.05185151
mlfq, 5000, 1.42623671, 0.00001921
rr, 5000, 0.66486783, 0.00106697
mlfq, 10000, 1.43374413, 0.00001830
rr, 10000, 0.68217020, 0.00058604
mlfq, 15000, 1.44097600, 0.00001767
rr, 15000, 0.69506302, 0.00040215
mlfq, 20000, 1.08333112, 0.00003059
rr, 20000, 0.69361942, 0.00031324
mlfq, 25000, 1.09742003, 0.00002975
rr, 25000, 0.70320407, 0.00029948
mlfq, 30000, 1.10950716, 0.00003387
rr, 30000, 0.70755843, 0.00026393
mlfq, 35000, 1.12652476, 0.00004680
rr, 35000, 0.72028814, 0.00024961
mlfq, 40000, 1.13608180, 0.00005350
rr, 40000, 0.75237633, 0.00023139
mlfq, 45000, 1.14853574, 0.00004714
rr, 45000, 0.72219102, 0.00021832
mlfq, 50000, 1.16456486, 0.00005259
rr, 50000, 0.77732950, 0.00024200
mlfq, 55000, 1.17697728, 0.00004763
rr, 55000, 0.78602408, 0.00023230
mlfq, 60000, 1.18977272, 0.00005001
rr, 60000, 0.82708218, 0.00023718
mlfq, 65000, 1.20164909, 0.00004624
rr, 65000, 0.81457642, 0.00019527
mlfq, 70000, 1.21200353, 0.00004903
rr, 70000, 0.85985020, 0.00021407
mlfq, 75000, 1.22792480, 0.00004526
rr, 75000, 0.90213107, 0.00021393
mlfq, 80000, 1.23950179, 0.00004568
rr, 80000, 0.88167922, 0.00023187
mlfq, 85000, 0.92998150, 0.00004980
rr, 85000, 0.80898786, 0.00016496
mlfq, 90000, 0.94675123, 0.00005329
rr, 90000, 0.83363208, 0.00013794
mlfq, 95000, 0.96255580, 0.00006356
rr, 95000, 0.88050716, 0.00017817
mlfq, 100000, 0.97916867, 0.00005853
rr, 100000, 0.90156857, 0.00022105
mlfq, 105000, 0.99568535, 0.00005594
rr, 105000, 0.84141955, 0.00012711
mlfq, 110000, 1.00911156, 0.00005818
rr, 110000, 0.88173275, 0.00016552
mlfq, 115000, 1.02804150, 0.00007138
rr, 115000, 0.92183446, 0.00016685
mlfq, 120000, 1.04459362, 0.00005490
rr, 120000, 0.93171964, 0.00015372
mlfq, 125000, 1.06120139, 0.00005923
rr, 125000, 0.97043760, 0.00015889
mlfq, 130000, 1.07739184, 0.00005971
rr, 130000, 0.97661305, 0.00016483
mlfq, 135000, 1.09262336, 0.00006495
rr, 135000, 1.01436254, 0.00019018
mlfq, 140000, 1.10913950, 0.00006300
rr, 140000, 1.05164836, 0.00015086
mlfq, 145000, 1.12538601, 0.00006418
rr, 145000, 1.05287337, 0.00014318
mlfq, 150000, 1.13933651, 0.00006272
rr, 150000, 1.08885382, 0.00015344
mlfq, 155000, 1.15811900, 0.00006328
rr, 155000, 1.00909208, 0.00017027
mlfq, 160000, 1.17427919, 0.00006383
rr, 160000, 1.04156410, 0.00014764
mlfq, 165000, 1.19109295, 0.00010246
rr, 165000, 1.03272200, 0.00013731
mlfq, 170000, 1.20419531, 0.00006544
rr, 170000, 1.06403787, 0.00014297
mlfq, 175000, 1.22268970, 0.00005713
rr, 175000, 1.09504034, 0.00015016
mlfq, 180000, 1.24007739, 0.00006341
rr, 180000, 1.12653008, 0.00022559
mlfq, 185000, 1.25557525, 0.00006230
rr, 185000, 1.15776506, 0.00014276
mlfq, 190000, 1.27151595, 0.00003569
rr, 190000, 1.18878702, 0.00015421
mlfq, 195000, 1.28933714, 0.00005943
rr, 195000, 1.17133733, 0.00013263
mlfq, 200000, 1.30393180, 0.00005915
rr, 200000, 1.20113750, 0.00014339
mlfq, 205000, 1.31960918, 0.00005462
rr, 205000, 1.23162149, 0.00015407
mlfq, 210000, 1.33708982, 0.00006209
rr, 210000, 1.26113785, 0.00013472
mlfq, 215000, 1.35325017, 0.00005622
rr, 215000, 1.29155382, 0.00015707
mlfq, 220000, 1.36932044, 0.00006048
rr, 220000, 1.32150097, 0.00015009
mlfq, 225000, 1.38555061, 0.00010902
rr, 225000, 1.35150024, 0.00015198
mlfq, 230000, 1.40198197, 0.00006307
rr, 230000, 1.38165921, 0.00016378
mlfq, 235000, 1.41821508, 0.00006034
rr, 235000, 1.35287114, 0.00014017
mlfq, 240000, 1.43455801, 0.00006446
rr, 240000, 1.38139851, 0.00015309
mlfq, 245000, 1.45169201, 0.00012648
rr, 245000, 1.41037429, 0.00018557
mlfq, 250000, 1.46657636, 0.00004079
rr, 250000, 1.43880245, 0.00016790
fcfs, 0, 1.42250860, 0.00000796
sjf, 0, 0.51656846, 0.00000761
mlfq, 0, 1.41842109, 0.00001718
rr, 0, 0.82329386, 0.05164715
mlfq, 5000, 1.42635110, 0.00001774
rr, 5000, 0.68594898, 0.00109225
mlfq, 10000, 1.43364029, 0.00001823
rr, 10000, 0.68141876, 0.00049252
mlfq, 15000, 1.06981383, 0.00002375
rr, 15000, 0.69472927, 0.00044908
mlfq, 20000, 1.08178859, 0.00002822
rr, 20000, 0.69361785, 0.00033301
mlfq, 25000, 1.09610893, 0.00004700
rr, 25000, 0.70320978, 0.00028321
