Type, Quantum, Average Response Time, Context Switch Time, Second Queue Usage
rr, 7000, 0.66680121, 0.00075966, 0
rr, 7500, 0.68264846, 0.00075142, 0
rr, 8000, 0.66457656, 0.00068578, 0
rr, 8500, 0.67543733, 0.00066824, 0
rr, 9000, 0.67361152, 0.00064841, 0
rr, 9500, 0.67034110, 0.00057424, 0
rr, 10000, 0.67443544, 0.00057437, 0
rr, 10500, 0.67098100, 0.00065706, 0
rr, 11000, 0.68020960, 0.00052549, 0
rr, 11500, 0.67942857, 0.00051005, 0
rr, 12000, 0.67145182, 0.00054171, 0
rr, 12500, 0.68039962, 0.00046829, 0
rr, 13000, 0.68499980, 0.00045146, 0
rr, 13500, 0.69002506, 0.00036862, 0
rr, 14000, 0.67709896, 0.00041981, 0
rr, 14500, 0.69001411, 0.00042331, 0
rr, 15000, 0.69487796, 0.00044251, 0
rr, 15500, 0.66678565, 0.00041031, 0
rr, 16000, 0.68009029, 0.00036241, 0
rr, 16500, 0.68104722, 0.00037791, 0
rr, 17000, 0.69311430, 0.00052332, 0
rr, 17500, 0.66917169, 0.00035906, 0
rr, 18000, 0.67871582, 0.00035186, 0
rr, 18500, 0.67473899, 0.00035850, 0
rr, 19000, 0.68770830, 0.00033978, 0
rr, 19500, 0.68113629, 0.00033998, 0
rr, 20000, 0.69396863, 0.00034040, 0
mlfq, 15000, 1.44335434, 0.00001949, 1.000
mlfq, 16000, 1.07171339, 0.00002067, 0.750
mlfq, 17000, 1.07387440, 0.00002186, 0.750
mlfq, 18000, 1.07692086, 0.00002821, 0.750
mlfq, 19000, 1.07862260, 0.00002116, 0.750
mlfq, 20000, 1.08206963, 0.00003080, 0.750
mlfq, 21000, 1.08400174, 0.00002926, 0.750
mlfq, 22000, 1.08636651, 0.00002821, 0.750
mlfq, 23000, 1.08919463, 0.00003010, 0.750
mlfq, 24000, 1.09159341, 0.00002989, 0.750
mlfq, 25000, 1.09495292, 0.00003765, 0.750
mlfq, 26000, 1.09710676, 0.00002905, 0.750
mlfq, 27000, 1.10040220, 0.00006440, 0.750
mlfq, 28000, 1.10424497, 0.00003164, 0.750
mlfq, 29000, 1.10614760, 0.00004484, 0.750
mlfq, 30000, 1.10775235, 0.00003031, 0.750
mlfq, 31000, 1.11169740, 0.00004393, 0.750
mlfq, 32000, 1.11356621, 0.00004072, 0.750
mlfq, 81000, 1.23934681, 0.00004882, 0.750
mlfq, 82000, 1.24100046, 0.00004966, 0.750
mlfq, 83000, 0.92174470, 0.00006258, 0.500
mlfq, 84000, 0.92508685, 0.00005825, 0.500
mlfq, 85000, 0.92771269, 0.00005755, 0.500
mlfq, 86000, 0.93090756, 0.00005490, 0.500
mlfq, 87000, 0.93459633, 0.00006020, 0.500
mlfq, 88000, 0.93794154, 0.00005336, 0.500
mlfq, 89000, 0.94096945, 0.00005978, 0.500
mlfq, 90000, 0.94417099, 0.00006027, 0.500
mlfq, 91000, 0.94767986, 0.00005887, 0.500
mlfq, 92000, 0.95047220, 0.00005727, 0.500
mlfq, 93000, 0.95426755, 0.00005804, 0.500
